REF_DATE,GEO,Age group,Age,UOM_ID,VALUE
2020,Yukon,60 to 64 years,60,249,3116
2020,Yukon,65 to 69 years,65,249,2385
2020,Yukon,70 to 74 years,70,249,1532
2020,Yukon,75 to 79 years,75,249,862
2020,Yukon,80 to 84 years,80,249,464
2020,Yukon,85 to 89 years,85,249,246
2020,Yukon,90 to 94 years,90,249,84
2020,Yukon,95 to 99 years,95,249,31
2020,Yukon,100 years and over,100,249,7
2020,NWT,0 to 4 years,0,249,2963
2020,NWT,5 to 9 years,5,249,3081
2020,NWT,10 to 14 years,10,249,3010
2020,NWT,15 to 19 years,15,249,2793
2020,NWT,20 to 24 years,20,249,3028
2020,NWT,25 to 29 years,25,249,3688
2020,NWT,30 to 34 years,30,249,3705
2020,NWT,35 to 39 years,35,249,3405
2020,NWT,40 to 44 years,40,249,3348
2020,NWT,45 to 49 years,45,249,2919
2020,NWT,50 to 54 years,50,249,3238
2020,NWT,55 to 59 years,55,249,3389
2020,NWT,60 to 64 years,60,249,2619
2020,NWT,65 to 69 years,65,249,1818
2020,NWT,70 to 74 years,70,249,1048
2020,NWT,75 to 79 years,75,249,603
2020,NWT,80 to 84 years,80,249,293
2020,NWT,85 to 89 years,85,249,133
2020,NWT,90 to 94 years,90,249,57
2020,NWT,95 to 99 years,95,249,21
2020,NWT,100 years and over,100,249,2
2020,Nunavut,0 to 4 years,0,249,4196
2020,Nunavut,5 to 9 years,5,249,4276
2020,Nunavut,10 to 14 years,10,249,3987
2020,Nunavut,15 to 19 years,15,249,3283
2020,Nunavut,20 to 24 years,20,249,3173
2020,Nunavut,25 to 29 years,25,249,3276
2020,Nunavut,30 to 34 years,30,249,3179
2020,Nunavut,35 to 39 years,35,249,2767
2020,Nunavut,40 to 44 years,40,249,2334
2020,Nunavut,45 to 49 years,45,249,2154
2020,Nunavut,50 to 54 years,50,249,2277
2020,Nunavut,55 to 59 years,55,249,1761
2020,Nunavut,60 to 64 years,60,249,1119
2020,Nunavut,65 to 69 years,65,249,698
2020,Nunavut,70 to 74 years,70,249,459
2020,Nunavut,75 to 79 years,75,249,235
2020,Nunavut,80 to 84 years,80,249,114
2020,Nunavut,85 to 89 years,85,249,41
2020,Nunavut,90 to 94 years,90,249,18
2020,Nunavut,95 to 99 years,95,249,3
2020,Nunavut,100 years and over,100,249,3
